First Name,Last Name,Job Title,Institution
Theresa,Quill,Map and Spatial Data Librarian,Indiana University Bloomington
Ronda,Sewald,"Cartographic Resource Cataloger & Interim Head, Area Studies Cataloging",Indiana University Bloomington
Amanda,Tickner,GIS Specialist,Michigan State University
Kathleen,Weessies,"Head, Map Library",Michigan State University
Méch,Frazier,GIS Specialist,Northwestern University
Danny,Dotson,"Head of Geology Library and Gardner Family Map Room, Mathematical Sciences Librarian & Science Education Specialist",Ohio State University
Josh,Sadvari,Geospatial Information Librarian,Ohio State University
Tara Louise ,Anthony,GIS Specialist,Pennsylvania State University
Owuor,Innocensia ,GIS Specialist and Clinical Assistant Professor,Purdue University
Shirley,Li,GIS Specialist and Clinical Assistant Professor,Purdue University
Francesca,Giannetti,Digital Humanities Librarian,Rutgers University-New Brunswick
Sue,Oldenburg,GIS Specialist,Rutgers University-New Brunswick
Rob,Shepard ,GIS Librarian & Instructor,University of Chicago
Sandi,Caldrone,Data Research Support,University of Illinois
Jay,Bowen,GIS Specialist,University of Iowa
Cathy,Hodge,Monograph & Cartographic Resources Cataloging Librarian,University of Iowa
Milan,Budhathoki,Geospatial Librarian,University of Maryland
Caroline,Kayko,Map and Geospatial Data Librarian,University of Michigan
Nicole,Scholtz,Librarian for Geospatial and Numeric Data,University of Michigan
Melinda,Kernik,Spatial Data Analyst & Curator,University of Minnesota
Laura,McElfresh,Cartographic Metadata Librarian,University of Minnesota
Wenjie,Wang,GIS Librarian,University of Nebraska-Lincoln
Meg,Mering,Coordinator of Cataloging and Metadata,University of Nebraska-Lincoln
Gabriele,Hayden,Head of Data Services,University of Oregon
Kathy,Stroud,Cartographic and Government Information Librarian,University of Oregon
Matthew,Parsons,Geospatial Data and Maps Librarian,University of Washington
Allison,Anderson,GIS Infrastructure and Support Specialist,University of Washington
Jim,Lacy,Associate State Cartographer,University of Wisconsin-­Madison
Jaime,Martindale,Map and Geospatial Data Librarian,University of Wisconsin-­Madison
