Title,Records added,Records retired
[Illinois Geospatial Data Clearinghouse 02a-01 Q3 2024](https://github.com/geobtaa/metadata/issues/667),0,0
[MN GeoCommons 05a-01 August 2024](https://github.com/geobtaa/metadata/issues/630),1,0
[PASDA 08a-01 Q3 2024](https://github.com/geobtaa/metadata/issues/637),21,0
[Western Pennsylvania Regional Data Center Open Data 08f-01 Q3 2024](https://github.com/geobtaa/metadata/issues/639),0,0
[2024-08-06 Scan ArcGIS Hubs](https://github.com/geobtaa/metadata/issues/671),183,59
[2024-08-13 Scan ArcGIS Hubs](https://github.com/geobtaa/metadata/issues/672),122,113
[2024-08-20 Scan ArcGIS Hubs](https://github.com/geobtaa/metadata/issues/675),98,36
[2024-08-27 Scan ArcGIS Hubs](https://github.com/geobtaa/metadata/issues/676),64,54
[Humanitarian Data Exchange 99-1400 reharvest Q3 2024](https://github.com/geobtaa/metadata/issues/647),463,0
[Add Ohio parcels](https://github.com/geobtaa/metadata/issues/586),1,0
"[Harvest Olmsted County, MN 05b-27109](https://github.com/geobtaa/metadata/issues/623)",10,0
