Task,Records added,Records retired,Geoportal link,Labels
[05a-01 December 2023](https://github.com/geobtaa/metadata/issues/389),9,0,https://geo.btaa.org/catalog/05a-01,reharvest
[2023-12-05 Scan ArcGIS Hubs](https://github.com/geobtaa/metadata/issues/492),272,2000,https://geo.btaa.org/?search_field=all_fields&q=%22ArcGIS+Hub%22,reharvest
[2023-12-19 Scan ArcGIS Hubs](https://github.com/geobtaa/metadata/issues/505),109,0,https://geo.btaa.org/?search_field=all_fields&q=%22ArcGIS+Hub%22,reharvest
[2023-12-26 Scan ArcGIS Hubs](https://github.com/geobtaa/metadata/issues/513),73,161,https://geo.btaa.org/?search_field=all_fields&q=%22ArcGIS+Hub%22,reharvest
[Iowa Historic Sheet Maps](https://github.com/geobtaa/metadata/issues/486),176,0,https://geo.btaa.org/catalog/03d-01-05,New records
[Harvest maps from Iowa Campus maps subcollection](https://github.com/geobtaa/metadata/issues/495),100,0,https://geo.btaa.org/catalog/03d-01-07,New records
[Harvest maps from Iowa Depression subcollection](https://github.com/geobtaa/metadata/issues/494),115,0,https://geo.btaa.org/catalog/03d-01-06,New records
[Reharvest 08c-01 December 2023](https://github.com/geobtaa/metadata/issues/473),0,7,https://geo.btaa.org/catalog/08c-01,reharvest
[Socrata harvest Q4 2023](https://github.com/geobtaa/metadata/issues/384),0,0,https://geo.btaa.org/?search_field=all_fields&q=socrata,reharvest
[Sync with OGM repo for edu.wisc](https://github.com/geobtaa/metadata/issues/489),75,0,https://geo.btaa.org/catalog/10d-03,reharvest
TOTALS,+929,-2168,-,-
