Task,Records added,Records retired,Geoportal Link
[Reharvest 05b-27029](https://github.com/geobtaa/metadata/issues/607),1,0,https://geo.btaa.org/catalog/05b-27029
[Clean up links for Sanborn Digital Maps 999-0011](https://github.com/geobtaa/metadata/issues/657),0,2,https://geo.btaa.org/catalog/999-0011
[10d-03 UW-Madison additions 2024-06](https://github.com/geobtaa/metadata/issues/655),16,0,https://geo.btaa.org/?f%5Bb1g_geom_import_id_ssi%5D%5B%5D=183&publication_state=%2A
[HUD portal 1000-0001 manual harvest](https://github.com/geobtaa/metadata/issues/652),95,0,https://geo.btaa.org/catalog/1000-0001
[Mich DNR 06a-02 manual harvest](https://github.com/geobtaa/metadata/issues/651),90,0,https://geo.btaa.org/catalog/06a-02
"[Carver Co, MN 05b-27019 manual harvest](https://github.com/geobtaa/metadata/issues/650)",38,0,https://geo.btaa.org/catalog/05b-27019
[MN Geospatial Commons 05a-01 reharvest June 2024](https://github.com/geobtaa/metadata/issues/628),5,1,https://geo.btaa.org/catalog/05a-01
[2024-06-25 Scan ArcGIS Hubs](https://github.com/geobtaa/metadata/issues/658),106,0,-
[2024-06-18 Scan ArcGIS Hubs](https://github.com/geobtaa/metadata/issues/656),88,209,-
[2024-06-11 Scan ArcGIS Hubs](https://github.com/geobtaa/metadata/issues/654),147,152,-
[2024-06-04 Scan ArcGIS Hubs](https://github.com/geobtaa/metadata/issues/653),216,201,-
