Date,2017-03,2017-04,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-11,2018-12,Sum
District of Columbia Open Data,-,-,-,2,0,0,49,225,17,2,5,5,3,0,26,137,33,504
GeOhio,-,-,-,0,0,0,0,0,20,16,7,78,12,4,0,174,20,331
Harford County GIS Data,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33
Indianapolis Open Data,-,-,-,0,0,0,0,0,0,0,6,1,2,0,0,0,2,11
IowaDOT,-,-,-,10,0,19,3,1,4,0,1,8,0,0,0,203,16,265
Lake County Illinois Open Data Portal,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,362,156,518
Maryland iMap,-,-,-,11,3,2,1,1,1,1,9,1,4,0,3,5,3,45
Michigan DNR,-,-,-,-,-,6,11,13,15,77,2,1,2,0,73,stopped harvesting,-,200
Minneapolis Open Data,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16
Peoria County GIS Open Data Portal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
SEMCOG,0,8,0,0,0,4,0,0,0,9,0,0,0,0,1,0,0,22
State of Michigan Open Data Portal,62,0,133,165,0,6,14,13,18,80,2,4,2,0,73,5,8,585
"Washington County, MN",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,2
Sum,62,8,133,188,3,37,78,253,75,186,32,98,25,4,176,888,292,2538
