First Name,Last Name,Job Title,Institution
Theresa,Quill,Map and Spatial Data Librarian,Indiana University Bloomington
Ronda,Sewald,"Cartographic Resource Cataloger & Interim Head, Area Studies Cataloging",Indiana University Bloomington
Amanda,Tickner,GIS Specialist,Michigan State University
Kathleen,Weessies,"Head, Map Library",Michigan State University
Méch,Frazier,GIS Specialist,Northwestern University
Kelsey James,Rydland,Head of Digital Scholarship & Research Data Management,Northwestern University
Danny,Dotson,Head of Geology Library and Gardner Family Map Room,Ohio State University
Josh,Sadvari,Geospatial Information Librarian,Ohio State University
Tara Louise ,Anthony,GIS Specialist,Pennsylvania State University
Nathan,Piekielek,Geospatial Services Librarian and Associate Professor of Geography,Pennsylvania State University
Nicole,Kong,GIS Specialist,Purdue University
Shirley,Li,GIS Analyst,Purdue University
Francesca,Giannetti,Digital Humanities Librarian,Rutgers University-New Brunswick
Susan,Oldenburg,GIS Specialist,Rutgers University-New Brunswick
Greg,Fleming,Business and Economics Librarian,University of Chicago
Rob,Shepard,GIS Librarian & Instructor,University of Chicago
Sandi,Caldrone,Data Research Support,University of Illinois
Jay,Bowen,GIS Specialist,University of Iowa
Catherine,Hodge,Monograph & Cartographic Resources Cataloging Librarian,University of Iowa
Milan,Budhathoki,Geospatial Librarian,University of Maryland
Caroline,Kayko,Map and Geospatial Data Librarian,University of Michigan
Nicole,Scholtz,Librarian for Geospatial and Numeric Data,University of Michigan
Melinda,Kernik,Spatial Data Analyst & Curator,University of Minnesota
Karen,Majewicz,Geospatial Product Manager,University of Minnesota
Ryan,Mattke,Map & Geospatial Information Librarian,University of Minnesota
Laura,McElfresh,Cartographic Metadata Librarian,University of Minnesota
Wenjie,Wang,GIS Specialist,University of Nebraska-Lincoln
Meg,Mering,Coordinator of Cataloging and Metadata,University of Nebraska-Lincoln
Jim,Lacy,Associate State Cartographer,University of Wisconsin-­Madison
Jaime,Martindale,Map and Geospatial Data Librarian,University of Wisconsin-­Madison
