Task (links to GitHub issue),Number Added,Number unpublished,Geoportal link,Labels
[12-04 first ingest to prod](https://github.com/geobtaa/metadata/issues/528),8605,0,https://geo.btaa.org/catalog/12d-04,"New records, New website"
[99-1400 reharvest Q1 2024](https://github.com/geobtaa/metadata/issues/526),6699,767,https://geo.btaa.org/catalog/99-1400,reharvest
[2024-01-21 ArcGIS Harvest](https://github.com/geobtaa/metadata/issues/529),320,94,https://geo.btaa.org/?search_field=all_fields&q=arcgis+hubs,reharvest
[2024-1-02 Scan ArcGIS Hubs](https://github.com/geobtaa/metadata/issues/520),107,159,https://geo.btaa.org/?search_field=all_fields&q=arcgis+hubs,reharvest
[update 01b-18057 with correct landing page and reharvest](https://github.com/geobtaa/metadata/issues/335),43,28,https://geo.btaa.org/catalog/01b-18057,reharvest
[ArcGIS Hub Harvest 2024-01-23](https://github.com/geobtaa/metadata/issues/540),22,431,https://geo.btaa.org/?search_field=all_fields&q=arcgis+hubs,reharvest
[2024-01-09 ArcGIS Harvest](https://github.com/geobtaa/metadata/issues/523),14,149,https://geo.btaa.org/?search_field=all_fields&q=arcgis+hubs,reharvest
[05a-01 January 2024](https://github.com/geobtaa/metadata/issues/507),5,1,https://geo.btaa.org/catalog/05a-01,reharvest
[Add web services for St Louis covenants](https://github.com/geobtaa/metadata/issues/525),2,0,https://geo.btaa.org/catalog/b492921b-eebf-442f-acb4-1dc6b0d21cc8,New records
[08c-01 January 2024](https://github.com/geobtaa/metadata/issues/512),2,0,https://geo.btaa.org/catalog/08c-01,reharvest
[Update Iowa GLO Maps](https://github.com/geobtaa/metadata/issues/488),0,0,https://geo.btaa.org/catalog/03d-01-03,"cleanup, reharvest"
Totals,"+15,819",-1629,-,-
