Title,Records added,Records retired,Geoportal Link
[05a-01 April 2024](https://github.com/geobtaa/metadata/issues/510),0,0,-
[05a-01 May 2024](https://github.com/geobtaa/metadata/issues/626),2,3,https://geo.btaa.org/?f%5Bb1g_geom_import_id_ssi%5D%5B%5D=165&publication_state=%2A
[08c-01 May 2024](https://github.com/geobtaa/metadata/issues/632),31,12,https://geo.btaa.org/?f%5Bb1g_geom_import_id_ssi%5D%5B%5D=164&publication_state=%2A
[08f-01 Q2 2024](https://github.com/geobtaa/metadata/issues/638),2,0,https://geo.btaa.org/?f%5Bb1g_geom_import_id_ssi%5D%5B%5D=168&publication_state=%2A
[11a-01 GeOhio reharvest](https://github.com/geobtaa/metadata/issues/648),267,315,https://geo.btaa.org/?f%5Bb1g_geom_import_id_ssi%5D%5B%5D=175&publication_state=%2A
[99-1400 Humanitarian Data Exchange reharvest Q2 2024](https://github.com/geobtaa/metadata/issues/645),2329,614,https://geo.btaa.org/?f%5Bb1g_geom_import_id_ssi%5D%5B%5D=174&publication_state=%2A
"[Add 05b-27057 (Hubbard Co, MN) back to Hub list and reharvest](https://github.com/geobtaa/metadata/issues/617)",8,0,https://geo.btaa.org/?f%5Bb1g_geom_import_id_ssi%5D%5B%5D=160&publication_state=%2A
"[Add 05b-27139 (Scott Co, MN) back to Hub list and reharvest](https://github.com/geobtaa/metadata/issues/616)",50,0,https://geo.btaa.org/?f%5Bb1g_geom_import_id_ssi%5D%5B%5D=160&publication_state=%2A
"[Add Sherburn County, MN 05b-27141 to ArcGIS Harvest](https://github.com/geobtaa/metadata/issues/606)",1,0,https://geo.btaa.org/catalog/05b-27141
[ArcGIS Hub Harvest 2024-05-22](https://github.com/geobtaa/metadata/issues/608),140,677,-
[ArcGIS Hub Harvest 2024-05-28](https://github.com/geobtaa/metadata/issues/611),166,806,-
[ArcGIS Hub Harvest 2024-05-31](https://github.com/geobtaa/metadata/issues/649),133,0,-
[Deprecate 11a-04](https://github.com/geobtaa/metadata/issues/615),0,1,-
[Harvest 05b-27083](https://github.com/geobtaa/metadata/issues/620),20,0,https://geo.btaa.org/?f%5Bdct_isPartOf_sm%5D%5B%5D=05b-27083
[Harvest 05b-27149](https://github.com/geobtaa/metadata/issues/621),1,0,https://geo.btaa.org/catalog/05b-27149
[Harvest sherburne county](https://github.com/geobtaa/metadata/issues/610),44,0,https://geo.btaa.org/?f%5Bb1g_geom_import_id_ssi%5D%5B%5D=159&publication_state=%2A
[New ingest OGM UW Milwaukee](https://github.com/geobtaa/metadata/issues/643),777,0,https://geo.btaa.org/?f%5Bb1g_geom_import_id_ssi%5D%5B%5D=172&publication_state=%2A
[Reharvest 02a-01 Q2 2024](https://github.com/geobtaa/metadata/issues/636),1,0,https://geo.btaa.org/?f%5Bb1g_geom_import_id_ssi%5D%5B%5D=167&publication_state=%2A
[Reharvest OGM UW Madison](https://github.com/geobtaa/metadata/issues/642),144,0,https://geo.btaa.org/?f%5Bb1g_geom_import_id_ssi%5D%5B%5D=171&publication_state=%2A
[Remove Stanford ISO link](https://github.com/geobtaa/metadata/issues/641),0,2,https://geo.btaa.org/?f%5Bb1g_geom_import_id_ssi%5D%5B%5D=170&publication_state=published
[Socrata harvest Q2 2024](https://github.com/geobtaa/metadata/issues/633),1,0,https://geo.btaa.org/?f%5Bb1g_geom_import_id_ssi%5D%5B%5D=166&publication_state=%2A
